"Tabela 21 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2002 (Série encerrada)"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Município";"Ano"
"Brasil e Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Brasil";"1179482000";"1302135029";"1477821769";"1699947694";"1941498358";"2147239292";"2369483546";"2661344525";"3032203490";"3239404053";"3770084872";"4143013337";"4392093997"
"Alta Floresta D'Oeste (RO)";"98023";"108233";"130458";"155300";"174997";"186967";"190505";"233494";"302620";"305788";"335700";"348804";"383885"
"Ariquemes (RO)";"381793";"399805";"453783";"535157";"638674";"700915";"735440";"839784";"1015962";"1041017";"1293583";"1561170";"1537870"
"Cabixi (RO)";"33496";"35168";"40770";"50497";"60879";"77122";"68804";"75600";"85719";"104588";"99413";"117396";"162482"
"Cacoal (RO)";"385936";"407175";"490165";"626541";"625988";"751181";"730470";"804538";"932122";"908920";"1168598";"1274121";"1324657"
"Cerejeiras (RO)";"89765";"84920";"95892";"114612";"142651";"146866";"148987";"166546";"200670";"237951";"272456";"336194";"443765"
"Colorado do Oeste (RO)";"83490";"85878";"96321";"106476";"124994";"138712";"144414";"162946";"184106";"212201";"226200";"238811";"255339"
"Corumbiara (RO)";"40046";"48729";"58641";"70628";"93768";"101370";"97943";"106536";"138368";"192822";"195073";"261379";"319420"
"Costa Marques (RO)";"24507";"30012";"37885";"48789";"55590";"63321";"70785";"83192";"103993";"120085";"135446";"150582";"166584"
"Espigão D'Oeste (RO)";"111948";"117712";"149448";"185695";"195450";"214883";"213301";"247786";"299734";"319671";"366781";"425903";"398483"
"Guajará-Mirim (RO)";"136125";"154043";"193888";"262667";"330751";"347526";"340745";"407909";"547283";"489996";"650329";"820548";"786514"
"Jaru (RO)";"253157";"277010";"334116";"391892";"443145";"552401";"511256";"590373";"656070";"650282";"794619";"887755";"952525"
"Ji-Paraná (RO)";"512578";"537957";"624322";"741375";"861672";"1000629";"989794";"1143911";"1373756";"1401633";"1686535";"1955382";"2043809"
"Machadinho D'Oeste (RO)";"66506";"68998";"92538";"137938";"174106";"198530";"195002";"219998";"299082";"303829";"318434";"356439";"440390"
"Nova Brasilândia D'Oeste (RO)";"70525";"69180";"76847";"98788";"99202";"115956";"115180";"154177";"180776";"163267";"194347";"209176";"225305"
"Ouro Preto do Oeste (RO)";"181024";"179618";"207167";"252958";"274436";"305507";"304604";"337466";"380141";"406870";"472402";"493594";"515057"
"Pimenta Bueno (RO)";"143166";"156831";"184053";"221883";"260480";"305719";"298678";"328920";"424911";"513645";"688400";"810005";"683814"
"Porto Velho (RO)";"1469893";"1772269";"2143974";"2667654";"3136545";"3700677";"3780707";"4361066";"5066906";"6606568";"7520522";"9518428";"9775427"
"Presidente Médici (RO)";"101785";"100178";"111390";"131936";"148607";"161714";"168049";"186949";"219708";"245864";"269390";"295100";"308150"
"Rio Crespo (RO)";"15428";"17155";"20892";"26666";"28429";"33051";"36611";"41832";"56090";"89962";"72340";"72064";"95149"
"Rolim de Moura (RO)";"208769";"216758";"248762";"288102";"315131";"398569";"409572";"455312";"542876";"520172";"615912";"774912";"810559"
"Santa Luzia D'Oeste (RO)";"43420";"47428";"55522";"68243";"72925";"77478";"82228";"91048";"110155";"114679";"117354";"165456";"176776"
"Vilhena (RO)";"427561";"444711";"457046";"589578";"705183";"782927";"773623";"923330";"1114699";"1187864";"1415472";"1522776";"1879427"
